room,startDate,endDate,guest,totalPrice,status,customer_email,specialRequests
Presidential Suite,2025-09-28,2025-10-11,4,1033.22,confirmed,user_466@example.com,None
Presidential Suite,2025-04-10,2025-04-15,4,1247.84,confirmed,user_8322@example.com,None
Executive King,2025-10-21,2025-11-02,2,803.33,confirmed,user_2558@example.com,None
Presidential Suite,2025-12-30,2026-01-02,2,1135.83,confirmed,user_1528@example.com,None
Presidential Suite,2025-11-25,2025-11-30,3,1109.96,confirmed,user_2612@example.com,None
Presidential Suite,2025-09-21,2025-09-28,4,1342.12,confirmed,user_3152@example.com,None
Executive King,2025-02-23,2025-03-01,2,832.8,confirmed,user_7629@example.com,None
Deluxe Suite,2025-08-01,2025-08-09,2,732.26,confirmed,user_8529@example.com,None
Executive King,2025-07-07,2025-07-19,1,848.61,confirmed,user_64@example.com,None
Deluxe Suite,2025-05-16,2025-05-17,2,542.24,confirmed,user_5258@example.com,None
Presidential Suite,2025-09-18,2025-09-19,3,1299.34,canceled,user_8392@example.com,None
Executive King,2025-03-03,2025-03-10,1,836.17,confirmed,user_2731@example.com,None
Presidential Suite,2025-08-15,2025-08-16,3,1345.94,confirmed,user_7385@example.com,None
Executive King,2025-07-26,2025-08-06,1,919.34,confirmed,user_7721@example.com,None
Presidential Suite,2025-08-29,2025-09-05,3,1335.53,confirmed,user_7574@example.com,None
Presidential Suite,2025-02-05,2025-02-18,3,1202.85,canceled,user_9914@example.com,None
Executive King,2025-03-03,2025-03-16,2,838.57,confirmed,user_3627@example.com,None
Executive King,2025-12-14,2025-12-24,1,847.18,confirmed,user_7392@example.com,None
Presidential Suite,2025-04-26,2025-05-05,2,1069.45,confirmed,user_5530@example.com,None
Deluxe Suite,2025-08-22,2025-08-25,1,524.0,confirmed,user_1998@example.com,None
Deluxe Suite,2025-11-14,2025-11-15,2,312.18,canceled,user_3696@example.com,Late checkout
Presidential Suite,2025-05-10,2025-05-12,1,1196.02,confirmed,user_854@example.com,None
Deluxe Suite,2025-05-06,2025-05-09,1,650.97,confirmed,user_5535@example.com,None
Presidential Suite,2025-05-03,2025-05-11,3,1198.89,confirmed,user_4389@example.com,None
Executive King,2025-08-28,2025-09-03,2,804.21,confirmed,user_2511@example.com,None
Presidential Suite,2025-12-12,2025-12-15,4,1020.44,confirmed,user_8338@example.com,None
Presidential Suite,2025-05-08,2025-05-17,4,1272.3,confirmed,user_8120@example.com,None
Presidential Suite,2025-04-09,2025-04-19,3,1338.97,confirmed,user_6287@example.com,Early check-in
Deluxe Suite,2025-01-02,2025-01-14,2,609.42,canceled,user_7158@example.com,None
Presidential Suite,2025-06-01,2025-06-04,3,1275.24,confirmed,user_9888@example.com,None
Presidential Suite,2025-04-14,2025-04-22,1,1226.22,confirmed,user_2869@example.com,None
Deluxe Suite,2025-06-10,2025-06-14,1,417.47,confirmed,user_4493@example.com,None
Presidential Suite,2025-05-08,2025-05-09,3,1163.19,confirmed,user_3446@example.com,None
Executive King,2025-12-31,2026-01-06,2,686.94,confirmed,user_5895@example.com,None
Executive King,2025-10-11,2025-10-12,1,744.03,confirmed,user_9007@example.com,None
Presidential Suite,2025-01-17,2025-01-18,4,1275.54,canceled,user_2205@example.com,Late checkout
Deluxe Suite,2025-08-21,2025-08-24,2,690.92,canceled,user_606@example.com,Late checkout
Deluxe Suite,2025-06-10,2025-06-23,2,308.37,confirmed,user_8319@example.com,None
Executive King,2025-02-27,2025-03-05,1,627.84,canceled,user_7806@example.com,None
Executive King,2025-04-14,2025-04-15,2,1008.44,confirmed,user_7343@example.com,None
Executive King,2025-12-21,2025-12-31,1,690.06,confirmed,user_2950@example.com,None
Deluxe Suite,2025-09-21,2025-09-22,2,629.3,confirmed,user_4495@example.com,None
Presidential Suite,2025-12-20,2026-01-01,3,1127.2,confirmed,user_3769@example.com,None
